Rank,Title,Website,Employees,Sector,Industry,Hqlocation,Hqaddr,Hqcity,Hqstate,Hqzip,Hqtel,Ceo,Ceo-title,Address,Ticker,Fullname,Revenues,Revchange,Profits,Prftchange,Assets,Totshequity
332,News Corp.,http://www.newscorp.com,24000,Media,"Publishing, Printing","New York, NY",1211 Ave. of the Americas,New York,NY,10036,212-416-3400,Robert J. Thomson,Chief Executive Officer & Director,"1211 Ave. of the Americas, New York, NY 10036",NWSA,News Corporation,8319,-3.6,179,-21.3,15483,11564
333,Crown Holdings,http://www.crowncork.com,23992,Materials,"Packaging, Containers","Philadelphia, PA",1 Crown Way,Philadelphia,PA,19154,215-698-5100,Timothy J. Donahue,"President, Chief Executive Officer & Director","1 Crown Way, Philadelphia, PA 19154",CCK,"Crown Holdings, Inc.",8284,-5.5,496,26.2,9599,366
334,Global Partners,http://www.globalp.com,1770,Wholesalers,Wholesalers: Diversified,"Waltham, MA",800 South St.,Waltham,MA,2453,781-894-8800,Eric Slifka,"President, Chief Executive Officer & Director","800 South St., Waltham, MA 02453",GLP,Global Partners LP,8240,-20.1,-199.4,-557.8,2564,393
335,PVH,http://www.pvh.com,26650,Apparel,Apparel,"New York, NY",200 Madison Ave.,New York,NY,10016,212-381-3500,Emanuel Chirico,Chairman & Chief Executive Officer,"200 Madison Ave., New York, NY 10016",PVH,PVH Corp.,8203,2.3,549,-4.1,11068,4805
336,Level 3 Communications,http://www.level3.com,12600,Telecommunications,Telecommunications,"Broomfield, CO",1025 Eldorado Blvd.,Broomfield,CO,80021,720-888-1000,Jeffrey K. Storey,"President, Chief Executive Officer & Director","1025 Eldorado Blvd., Broomfield, CO 80021",LVLT,"Level 3 Communications, Inc.",8172,-0.7,677,-80.3,24888,10917
337,Navistar International,http://www.navistar.com,11300,Industrials,Construction and Farm Machinery,"Lisle, IL",2701 Navistar Dr.,Lisle,IL,60532,331-332-5000,Troy A. Clarke,"Chairman, President & Chief Executive Officer","2701 Navistar Dr., Lisle, IL 60532",NAV,Navistar International Corporation,8111,-20,-97,-80.3,5653,-5298
338,Univar,http://www.univar.com,8700,Wholesalers,Wholesalers: Diversified,"Downers Grove, IL",3075 Highland Pkwy.,Downers Grove,IL,60515,331-777-6000,Stephen D. Newlin,"Chairman, President & Chief Executive Officer","3075 Highland Pkwy., Downers Grove, IL 60515",UNVR,Univar Inc.,8074,-10.1,-68.4,-514.5,5390,810
339,Campbell Soup,http://www.campbellsoupcompany.com,16500,"Food, Beverages & Tobacco",Food Consumer Products,"Camden, NJ",1 Campbell Place,Camden,NJ,8103,856-342-4800,Denise M. Morrison,"President, Chief Executive Officer & Director","1 Campbell Place, Camden, NJ 08103",CPB,Campbell Soup Company,7961,-1.5,563,-18.5,7837,1525
340,Dick’s Sporting Goods,http://www.dicks.com,27550,Retailing,Specialty Retailers: Other,"Coraopolis, PA",345 Court St.,Coraopolis,PA,15108,724-273-3400,Edward W. Stack,Chairman & Chief Executive Officer,"345 Court St., Coraopolis, PA 15108",DKS,"Dick's Sporting Goods, Inc.",7922,9,287.4,-13,4058,1930
341,Weyerhaeuser,http://www.weyerhaeuser.com,10400,Materials,Forest and Paper Products,"Seattle, WA",220 Occidental Ave. S.,Seattle,WA,98104,206-539-3000,Doyle R. Simons,"President, Chief Executive Officer & Director","220 Occidental Ave. S., Seattle, WA 98104",WY,Weyerhaeuser Company,7902,11.6,1027,103,19243,9180
342,Mutual of Omaha Insurance,http://www.mutualofomaha.com,5732,Financials,"Insurance: Life, Health (Stock)","Omaha, NE",Mutual of Omaha Plaza,Omaha,NE,68175,402-342-7600,James T. Blackledge,"President, Chief Executive Officer & Director","Mutual of Omaha Plaza, Omaha, NE 68175",WY,Mutual of Omaha Insurance Company,7899,9.2,356.6,7.1,38465,5618
343,Chesapeake Energy,http://www.chk.com,3300,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",6100 N. Western Ave.,Oklahoma City,OK,73118,405-848-8000,Robert D. Lawler,"President, Chief Executive Officer & Director","6100 N. Western Ave., Oklahoma City, OK 73118",CHK,Chesapeake Energy Corporation,7872,-38.3,-4401,7.1,13028,-1460
344,Anadarko Petroleum,http://www.anadarko.com,4500,Energy,"Mining, Crude-Oil Production","The Woodlands, TX",1201 Lake Robbins Dr.,The Woodlands,TX,77380,832-636-1000,R. A. Walker,"Chairman, President & Chief Executive Officer","1201 Lake Robbins Dr., The Woodlands, TX 77380",APC,Anadarko Petroleum Corporation,7869,-9.5,-3071,7.1,45564,12212
345,Interpublic Group,http://www.interpublic.com,49800,Business Services,"Advertising, Marketing","New York, NY",909 Third Ave.,New York,NY,10022,212-704-1200,Michael I. Roth,Chairman & Chief Executive Officer,"909 Third Ave., New York, NY 10022",IPG,"The Interpublic Group of Companies, Inc.",7847,3.1,608.5,33.9,12485,2017
346,J.M. Smucker,http://www.jmsmucker.com,6910,"Food, Beverages & Tobacco",Food Consumer Products,"Orrville, OH",1 Strawberry Lane,Orrville,OH,44667,330-682-3000,Mark T. Smucker,"President, Chief Executive Officer & Director","1 Strawberry Lane, Orrville, OH 44667",SJM,The J.M. Smucker Company,7811,37.2,688.7,99.7,15984,7009
347,Steel Dynamics,http://www.steeldynamics.com,7695,Materials,Metals,"Fort Wayne, IN",7575 W. Jefferson Blvd.,Fort Wayne,IN,46804,260-969-3500,Mark D. Millett,"President, Chief Executive Officer & Director","7575 W. Jefferson Blvd., Fort Wayne, IN 46804",STLD,"Steel Dynamics, Inc.",7777,2.4,382.1,99.7,6424,2927
348,Foot Locker,http://www.footlocker-inc.com,32965,Retailing,Specialty Retailers: Apparel,"New York, NY",330 W. 34th St.,New York,NY,10001,212-720-3700,Richard A. Johnson,"Chairman, President & Chief Executive Officer","330 W. 34th St., New York, NY 10001",FL,"Foot Locker, Inc.",7766,4.8,664,22.7,3840,2710
349,Western Refining,http://www.wnr.com,7134,Energy,Petroleum Refining,"El Paso, TX",212 N. Clark Dr.,El Paso,TX,79905,915-534-1400,Gregory J. Goff,Chief Executive Officer & Director,"212 N. Clark Dr., El Paso, TX 79905",FL,"Western Refining, Inc.",7743,-20.9,124.9,-69.3,5560,1697
350,SpartanNash,http://www.spartannash.com,11500,Wholesalers,Wholesalers: Food and Grocery,"Byron Center, MI",850 76th St. S.W.,Byron Center,MI,49315,616-878-2000,David M. Staples,"President, Chief Executive Officer & Director","850 76th St. S.W., Byron Center, MI 49315",SPTN,SpartanNash Company,7735,1.1,56.8,-9.4,1930,825
351,Dean Foods,http://www.deanfoods.com,17000,"Food, Beverages & Tobacco",Food Consumer Products,"Dallas, TX",2711 N. Haskell Ave.,Dallas,TX,75204,214-303-3400,Ralph P. Scozzafava,Chief Executive Officer & Director,"2711 N. Haskell Ave., Dallas, TX 75204",DF,Dean Foods Company,7710,-5.1,119.9,-9.4,2606,611
352,Zimmer Biomet Holdings,http://www.zimmerbiomet.com,18500,Health Care,Medical Products and Equipment,"Warsaw, IN",345 E. Main St.,Warsaw,IN,46580,574-267-6131,David C. Dvorak,"President, Chief Executive Officer & Director","345 E. Main St., Warsaw, IN 46580",ZBH,"Zimmer Biomet Holdings, Inc.",7684,28.1,305.9,108.1,26684,9669
353,PulteGroup,http://www.pultegroupinc.com,4623,Engineering & Construction,Homebuilders,"Atlanta, GA",3350 Peachtree Rd. N.E.,Atlanta,GA,30326,404-978-6400,Ryan R. Marshall,"President, Chief Executive Officer & Director","3350 Peachtree Rd. N.E., Atlanta, GA 30326",PHM,"PulteGroup, Inc.",7669,28.2,602.7,22,10178,4659
354,W.R. Berkley,http://www.wrberkley.com,7608,Financials,Insurance: Property and Casualty (Stock),"Greenwich, CT",475 Steamboat Rd.,Greenwich,CT,6830,203-629-3000,W. Robert Berkley Jr.,"President, Chief Executive Officer & Director","475 Steamboat Rd., Greenwich, CT 06830",WRB,W.R. Berkley Corporation,7654,6.2,601.9,19.5,23365,5047
355,Quanta Services,http://www.quantaservices.com,28100,Engineering & Construction,"Engineering, Construction","Houston, TX",2800 Post Oak Blvd.,Houston,TX,77056,713-629-7600,Earl C. Austin Jr.,"President, Chief Executive Officer & Director","2800 Post Oak Blvd., Houston, TX 77056",PWR,"Quanta Services, Inc.",7651,0.2,198.4,-36.2,5354,3339
356,EOG Resources,http://www.eogresources.com,2650,Energy,"Mining, Crude-Oil Production","Houston, TX",1111 Bagby St.,Houston,TX,77002,713-651-7000,William R. Thomas,Chairman & Chief Executive Officer,"1111 Bagby St., Houston, TX 77002",EOG,"EOG Resources, Inc.",7651,-12.6,-1096.7,-36.2,29459,13982
357,Charles Schwab,http://www.aboutschwab.com,16200,Financials,Securities,"San Francisco, CA",211 Main St.,San Francisco,CA,94105,415-667-7000,Walter W. Bettinger II,"President, Chief Executive Officer & Director","211 Main St., San Francisco, CA 94105",SCHW,The Charles Schwab Corporation,7644,17.6,1889,30.5,223383,16421
358,Eversource Energy,http://www.eversource.com,7762,Energy,Utilities: Gas and Electric,"Springfield, MA",300 Cadwell Dr.,Springfield,MA,1104,800-286-5000,James J. Judge,"President, Chief Executive Officer & Director","300 Cadwell Dr., Springfield, MA 01104",ES,Eversource Energy,7639,-4,942.3,7.3,32053,10712
359,Anixter International,http://www.anixter.com,8900,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, IL",2301 Patriot Blvd.,Glenview,IL,60026,224-521-8000,Robert J. Eck,"President, Chief Executive Officer & Director","2301 Patriot Blvd., Glenview, IL 60026",AXE,Anixter International Inc.,7625,15.6,120.5,-5.6,4094,1292
360,EMCOR Group,http://www.emcorgroup.com,31000,Engineering & Construction,"Engineering, Construction","Norwalk, CT",301 Merritt Seven,Norwalk,CT,6851,203-849-7800,Anthony J. Guzzi,"President, Chief Executive Officer & Director","301 Merritt Seven, Norwalk, CT 06851",EME,"EMCOR Group, Inc.",7552,12.3,181.9,5.6,3894,1537
361,Assurant,http://www.assurant.com,14700,Financials,Insurance: Property and Casualty (Stock),"New York, NY",28 Liberty St.,New York,NY,10005,212-859-7000,Alan B. Colberg,"President, Chief Executive Officer & Director","28 Liberty St., New York, NY 10005",AIZ,"Assurant, Inc.",7532,-27.1,565.4,299.4,29709,4098
362,CenterPoint Energy,http://www.centerpointenergy.com,7727,Energy,Utilities: Gas and Electric,"Houston, TX",1111 Louisiana St.,Houston,TX,77002,713-207-1111,Scott M. Prochazka,"President, Chief Executive Officer & Director","1111 Louisiana St., Houston, TX 77002",CNP,"CenterPoint Energy, Inc.",7528,1.9,432,299.4,21829,3460
363,Harris,http://www.harris.com,21000,Technology,Network and Other Communications Equipment,"Melbourne, FL",1025 W. NASA Blvd.,Melbourne,FL,32919,321-727-9100,William M. Brown,"Chairman, President & Chief Executive Officer","1025 W. NASA Blvd., Melbourne, FL 32919",HRS,Harris Corporation,7527,48.1,324,-3,11996,3056
364,HD Supply Holdings,http://www.hdsupply.com,14000,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",3100 Cumberland Blvd.,Atlanta,GA,30339,770-852-9000,Joseph J. DeAngelo,"Chairman, President & Chief Executive Officer","3100 Cumberland Blvd., Atlanta, GA 30339",HDS,"HD Supply Holdings, Inc.",7524,-14.3,196,-86.7,5707,960
365,PPL,http://www.pplweb.com,12689,Energy,Utilities: Gas and Electric,"Allentown, PA",2 N. Ninth St.,Allentown,PA,18101,610-774-5151,William H. Spence,"Chairman, President & Chief Executive Officer","2 N. Ninth St., Allentown, PA 18101",PPL,PPL Corporation,7517,-2,1902,178.9,38315,9899
366,Quest Diagnostics,http://www.questdiagnostics.com,43000,Health Care,Health Care: Pharmacy and Other Services,"Madison, NJ",3 Giralda Farms,Madison,NJ,7940,973-520-2700,Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer","3 Giralda Farms, Madison, NJ 07940",DGX,Quest Diagnostics Incorporated,7515,0.3,645,-9,10100,4628
367,Williams,http://www.williams.com,5604,Energy,Energy,"Tulsa, OK",1 Williams Center,Tulsa,OK,74172,918-573-2000,Alan S. Armstrong,"President, Chief Executive Officer & Director","1 Williams Center, Tulsa, OK 74172",WMB,"The Williams Companies, Inc.",7499,1.9,-424,-9,46835,4643
368,WEC Energy Group,http://www.wecenergygroup.com,8074,Energy,Utilities: Gas and Electric,"Milwaukee, WI",231 W. Michigan St.,Milwaukee,WI,53203,414-221-2345,Allen L. Leverett,"President, Chief Executive Officer & Director","231 W. Michigan St., Milwaukee, WI 53203",WEC,"WEC Energy Group, Inc.",7472,26.1,939,47.1,30123,8930
369,Hershey,http://www.thehersheycompany.com,17140,"Food, Beverages & Tobacco",Food Consumer Products,"Hershey, PA",100 Crystal A Dr.,Hershey,PA,17033,717-534-4200,Michele G. Buck,"President, Chief Executive Officer & Director","100 Crystal A Dr., Hershey, PA 17033",HSY,The Hershey Company,7440,0.7,720,40.4,5524,786
370,AGCO,http://www.agcocorp.com,19795,Industrials,Construction and Farm Machinery,"Duluth, GA",4205 River Green Pkwy.,Duluth,GA,30096,770-813-9200,Martin H. Richenhagen,"Chairman, President & Chief Executive Officer","4205 River Green Pkwy., Duluth, GA 30096",AGCO,AGCO Corporation,7411,-0.8,160.1,-39.9,7168,2776
371,Ralph Lauren,http://www.ralphlauren.com,20500,Apparel,Apparel,"New York, NY",650 Madison Ave.,New York,NY,10022,212-318-7000,Patrice Louvet,"President, Chief Executive Officer & Director","650 Madison Ave., New York, NY 10022",RL,Ralph Lauren Corporation,7405,-2.8,396,-43.6,6213,3744
372,Masco,http://www.masco.com,26000,Household Products,"Home Equipment, Furnishings","Taylor, MI",21001 Van Born Rd.,Taylor,MI,48180,313-274-7400,Keith J. Allman,"President, Chief Executive Officer & Director","21001 Van Born Rd., Taylor, MI 48180",MAS,Masco Corporation,7357,-6.9,491,38.3,5137,-298
373,WESCO International,http://www.wesco.com,9000,Wholesalers,Wholesalers: Diversified,"Pittsburgh, PA",225 W. Station Square Dr.,Pittsburgh,PA,15219,412-454-2200,John J. Engel,"Chairman, President & Chief Executive Officer","225 W. Station Square Dr., Pittsburgh, PA 15219",WCC,"WESCO International, Inc.",7336,-2.4,101.6,-51.8,4491,2013
374,LifePoint Health,http://www.lifepointhealth.net,47000,Health Care,Health Care: Medical Facilities,"Brentwood, TN",330 Seven Springs Way,Brentwood,TN,37027,615-920-7000,William F. Carpenter III,Chairman & Chief Executive Officer,"330 Seven Springs Way , Brentwood, TN 37027",LPNT,"LifePoint Health, Inc.",7274,20.9,121.9,-33,6319,2180
375,National Oilwell Varco,http://www.nov.com,36384,Energy,"Oil and Gas Equipment, Services","Houston, TX",7909 Parkwood Circle Dr.,Houston,TX,77036,713-346-7500,Clay C. Williams,"Chairman, President & Chief Executive Officer","7909 Parkwood Circle Dr., Houston, TX 77036",NOV,"National Oilwell Varco, Inc.",7251,-50.9,-2412,-33,21140,13940
376,Kindred Healthcare,http://www.kindredhealthcare.com,76650,Health Care,Health Care: Medical Facilities,"Louisville, KY",680 S. Fourth St.,Louisville,KY,40202,502-596-7300,Benjamin A. Breier,"President, Chief Executive Officer & Director","680 S. Fourth St., Louisville, KY 40202",KND,"Kindred Healthcare, Inc.",7227,1.8,-664.2,-33,6113,813
377,Mosaic,http://www.mosaicco.com,8700,Chemicals,Chemicals,"Plymouth, MN",3033 Campus Dr.,Plymouth,MN,55441,763-577-2700,James C. O'Rourke,"President, Chief Executive Officer & Director","3033 Campus Dr., Plymouth, MN 55441",MOS,The Mosaic Company,7163,-19.5,297.8,-70.2,16841,9585
378,Alliance Data Systems,http://www.alliancedata.com,17000,Business Services,Financial Data Services,"Plano, TX",7500 Dallas Pkwy.,Plano,TX,75024,214-494-3000,Edward J. Heffernan,"President, Chief Executive Officer & Director","7500 Dallas Pkwy., Plano, TX 75024",ADS,Alliance Data Systems Corporation,7138,10.8,515.8,-13.5,25514,1658
379,Computer Sciences,http://www.dxc.technology,59000,Technology,Information Technology Services,"Tysons, VA",1775 Tysons Blvd.,Tysons,VA,22102,703-876-1000,J. Michael Lawrie,"Chairman, President & Chief Executive Officer","1775 Tysons Blvd., Tysons, VA 22102",ADS,Computer Sciences Corporation,7106,-41.7,251,"12,450.00",7736,2025
380,Huntington Ingalls Industries,http://www.huntingtoningalls.com%20,37000,Aerospace & Defense,Aerospace and Defense,"Newport News, VA",4101 Washington Ave.,Newport News,VA,23607,757-380-2000,C. Michael Petters,"President, Chief Executive Officer & Director","4101 Washington Ave., Newport News, VA 23607",HII,"Huntington Ingalls Industries, Inc.",7068,0.7,573,41.8,6352,1653
381,Leidos Holdings,http://www.leidos.com,32000,Technology,Information Technology Services,"Reston, VA",11951 Freedom Dr.,Reston,VA,20190,571-526-6000,Roger A. Krone,Chairman & Chief Executive Officer,"11951 Freedom Dr., Reston, VA 20190",LDOS,"Leidos Holdings, Inc.",7043,38.5,244,-3.9,9132,3135
382,Erie Insurance Group,http://www.erieinsurance.com,4988,Financials,Insurance: Property and Casualty (Mutual),"Erie, PA",100 Erie Insurance Place,Erie,PA,16530,814-870-2000,Timothy G. NeCastro,"President, Chief Executive Officer & Director","100 Erie Insurance Place, Erie, PA 16530",LDOS,Erie Insurance Group,7016,5.7,741.9,10.7,18417,8528
383,Tesla,http://www.tesla.com,30025,Motor Vehicles & Parts,Motor Vehicles and Parts,"Palo Alto, CA",3500 Deer Creek Rd.,Palo Alto,CA,94304,650-681-5000,Elon Musk,Chairman & Chief Executive Officer,"3500 Deer Creek Rd., Palo Alto, CA 94304",TSLA,"Tesla, Inc.",7000,73,-674.9,10.7,22664,4753
384,Ascena Retail Group,http://www.ascenaretail.com,41000,Retailing,Specialty Retailers: Apparel,"Mahwah, NJ",933 MacArthur Blvd.,Mahwah,NJ,7430,551-777-6700,David R. Jaffe,"Chairman, President & Chief Executive Officer","933 MacArthur Blvd., Mahwah, NJ 07430",ASNA,"Ascena Retail Group, Inc.",6995,45.6,-11.9,10.7,5506,1863
385,Darden Restaurants,http://www.darden.com,150942,"Hotels, Restaurants & Leisure",Food Services,"Orlando, FL",1000 Darden Center Dr.,Orlando,FL,32837,407-245-4000,Eugene I. Lee Jr.,"President, Chief Executive Officer & Director","1000 Darden Center Dr., Orlando, FL 32837",DRI,"Darden Restaurants, Inc.",6934,-3.2,375,-47.1,4583,1952
386,Harman International Industries,http://www.harman.com,26000,Industrials,"Electronics, Electrical Equipment","Stamford, CT",400 Atlantic St.,Stamford,CT,6901,203-328-3500,Dinesh C. Paliwal,"President, Chief Executive Officer & Director","400 Atlantic St., Stamford, CT 06901",DRI,"Harman International Industries, Incorporated",6912,12.3,361.7,5.6,6054,2453
387,Nvidia,http://www.nvidia.com,10299,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",2701 San Tomas Expressway,Santa Clara,CA,95050,408-486-2000,Jen-Hsun Huang,"President, Chief Executive Officer & Director","2701 San Tomas Expressway, Santa Clara, CA 95050",NVDA,NVIDIA Corporation,6910,37.9,1666,171.3,9841,5762
388,R.R. Donnelley & Sons,http://www.rrdonnelley.com,44360,Media,"Publishing, Printing","Chicago, IL",35 W. Wacker Dr.,Chicago,IL,60601,312-326-8000,Daniel L. Knotts,"President, Chief Executive Officer & Director","35 W. Wacker Dr., Chicago, IL 60601",RRD,R.R. Donnelley & Sons Company,6896,-38.7,-495.9,-428.2,4285,-106
389,Fifth Third Bancorp,http://www.53.com,17844,Financials,Commercial Banks,"Cincinnati, OH",38 Fountain Square Plaza,Cincinnati,OH,45263,800-972-3030,Greg D. Carmichael,"President, Chief Executive Officer & Director","38 Fountain Square Plaza, Cincinnati, OH 45263",FITB,Fifth Third Bancorp,6889,-2,1564,-8.6,142177,16205
390,Quintiles IMS Holdings,http://www.quintilesims.com,50000,Health Care,Health Care: Pharmacy and Other Services,"Durham, NC",4820 Emperor Blvd.,Durham,NC,27703,919-998-2000,Ari Bousbib,"Chairman, President & Chief Executive Officer","4820 Emperor Blvd., Durham, NC 27703",Q,"Quintiles IMS Holdings, Inc.",6878,19.9,115,-70.3,21208,8633
391,Jones Lang LaSalle,http://www.jll.com,77300,Financials,Real Estate,"Chicago, IL",200 E. Randolph Dr.,Chicago,IL,60601,312-782-5800,Christian Ulbrich,"President, Chief Executive Officer & Director","200 E. Randolph Dr., Chicago, IL 60601",JLL,Jones Lang LaSalle Incorporated,6804,14,318.2,-27.5,7629,2790
392,Dover,http://www.dovercorporation.com,29000,Industrials,Industrial Machinery,"Downers Grove, IL",3005 Highland Pkwy.,Downers Grove,IL,60515,630-541-1540,Robert A. Livingston,"President, Chief Executive Officer & Director","3005 Highland Pkwy., Downers Grove, IL 60515",DOV,Dover Corporation,6794,-3.3,508.9,-41.5,10116,3800
393,Spirit AeroSystems Holdings,http://www.spiritaero.com,14400,Aerospace & Defense,Aerospace and Defense,"Wichita, KS",3801 S. Oliver St.,Wichita,KS,67210,316-526-9000,Thomas C. Gentile III,"President, Chief Executive Officer & Director","3801 S. Oliver St., Wichita, KS 67210",SPR,"Spirit AeroSystems Holdings, Inc.",6793,2.2,469.7,-40.4,5405,1928
394,Ryder System,http://www.ryder.com,34500,Transportation,"Trucking, Truck Leasing","Miami, FL",11690 N.W. 105th St.,Miami,FL,33178,305-500-3726,Robert E. Sanchez,Chairman & Chief Executive Officer,"11690 N.W. 105th St., Miami, FL 33178",R,"Ryder System, Inc.",6787,3.3,262.5,-13.9,10903,2052
395,A-Mark Precious Metals,http://www.amark.com,83,Materials,Miscellaneous,"Santa Monica, CA",429 Santa Monica Blvd.,Santa Monica,CA,90401,310-587-1477,Gregory N. Roberts,Chief Executive Officer & Director,"429 Santa Monica Blvd., Santa Monica, CA 90401",AMRK,"A-Mark Precious Metals, Inc.",6784,11.8,9.3,31.5,437,63
396,Tractor Supply,http://www.tractorsupply.com,19500,Retailing,Specialty Retailers: Other,"Brentwood, TN",5401 Virginia Way,Brentwood,TN,37027,615-440-4000,Gregory A. Sandfort,Chief Executive Officer & Director,"5401 Virginia Way, Brentwood, TN 37027",TSCO,Tractor Supply Company,6780,8.9,437.1,6.5,2675,1453
397,Sealed Air,http://www.sealedair.com,23000,Materials,"Packaging, Containers","Charlotte, NC",2415 Cascade Pointe Blvd.,Charlotte,NC,28208,980-221-3235,Jerome A. Peribere,"President, Chief Executive Officer & Director","2415 Cascade Pointe Blvd., Charlotte, NC 28208",SEE,Sealed Air Corporation,6778,-3.6,486.4,45,7389,610
398,Auto-Owners Insurance,http://www.auto-owners.com,4737,Financials,Insurance: Property and Casualty (Mutual),"Lansing, MI",6101 Anacapri Blvd.,Lansing,MI,48917,517-323-1200,Jeffrey F. Harrold,Chairman & Chief Executive Officer,"6101 Anacapri Blvd., Lansing, MI 48917",SEE,Auto-Owners Insurance Group,6775,4,706.3,-13.4,21571,9690
399,Yum China Holdings,http://ir.yumchina.com,420000,"Hotels, Restaurants & Leisure",Food Services,"Plano, TX",7100 Corporate Dr.,Plano,TX,75024,972-338-7530,Muktesh Pant,Chief Executive Officer & Director,"7100 Corporate Dr., Plano, TX 75024",YUMC,"Yum China Holdings, Inc.",6752,4,502,-13.4,3727,2377
400,Calpine,http://www.calpine.com,2372,Energy,Energy,"Houston, TX",717 Texas Ave.,Houston,TX,77002,713-830-2000,John B. Hill,"President, Chief Executive Officer & Director","717 Texas Ave., Houston, TX 77002",CPN,Calpine Corporation,6716,3.8,92,-60.9,19317,3268
401,Owens-Illinois,http://www.o-i.com,27000,Materials,"Packaging, Containers","Perrysburg, OH",1 Michael Owens Way,Perrysburg,OH,43551,567-336-5000,Andres A. Lopez,"President, Chief Executive Officer & Director","1 Michael Owens Way, Perrysburg, OH 43551",OI,"Owens-Illinois, Inc.",6702,8.9,209,54.8,9135,254
402,Targa Resources,http://www.targaresources.com,1970,Energy,Pipelines,"Houston, TX",1000 Louisiana St.,Houston,TX,77002,713-584-1000,Joe Bob Perkins,Chief Executive Officer & Director,"1000 Louisiana St., Houston, TX 77002",TRGP,Targa Resources Corp.,6691,0.5,-187.3,-421.3,12871,5439
403,Jones Financial (Edward Jones),http://www.edwardjones.com,43000,Financials,Securities,"Des Peres, MO",12555 Manchester Rd.,Des Peres,MO,63131,314-515-2000,James D. Weddle,Chief Executive Officer & Director,"12555 Manchester Rd., Des Peres, MO 63131",JBLU,"The Jones Financial Companies, L.L.L.P.",6632,-0.9,746,-11,19424,2634
403,JetBlue Airways,http://www.jetblue.com,15986,Transportation,Airlines,"Long Island City, NY",27-01 Queens Plaza N.,Long Island City,NY,11101,718-286-7900,Robin Hayes,"President, Chief Executive Officer & Director","27-01 Queens Plaza N., Long Island City, NY 11101",JBLU,JetBlue Airways Corporation,6632,3.4,759,12.1,9487,4013
405,Franklin Resources,http://www.franklinresources.com,9059,Financials,Securities,"San Mateo, CA",1 Franklin Pkwy.,San Mateo,CA,94403,650-312-2000,Gregory E. Johnson,Chairman & Chief Executive Officer,"1 Franklin Pkwy., San Mateo, CA 94403",BEN,"Franklin Resources, Inc.",6618,-16.7,1726.7,-15.2,16099,11936
406,Activision Blizzard,http://www.activisionblizzard.com,9500,Technology,Computer Software,"Santa Monica, CA",3100 Ocean Park Blvd.,Santa Monica,CA,90405,310-255-2000,Robert A. Kotick,"President, Chief Executive Officer & Director","3100 Ocean Park Blvd., Santa Monica, CA 90405",ATVI,"Activision Blizzard, Inc.",6608,41.7,966,8.3,17452,9119
407,J.B. Hunt Transport Services,http://www.jbhunt.com,22190,Transportation,"Trucking, Truck Leasing","Lowell, AR",615 J.B. Hunt Corporate Dr.,Lowell,AR,72745,479-820-0000,John N. Roberts III,"President, Chief Executive Officer & Director","615 J.B. Hunt Corporate Dr., Lowell, AR 72745",JBHT,"J.B. Hunt Transport Services, Inc.",6556,5.9,432.1,1.1,3829,1414
408,Constellation Brands,http://www.cbrands.com,9000,"Food, Beverages & Tobacco",Beverages,"Victor, NY",207 High Point Dr.,Victor,NY,14564,585-678-7100,Robert S. Sands,"President, Chief Executive Officer & Director","207 High Point Dr., Victor, NY 14564",STZ,"Constellation Brands, Inc.",6548,8.6,1054.9,25.7,16965,6560
409,NCR,http://www.ncr.com,33500,Technology,"Computers, Office Equipment","Duluth, GA",3097 Satellite Blvd.,Duluth,GA,30096,937-445-5000,William R. Nuti,Chairman & Chief Executive Officer,"3097 Satellite Blvd., Duluth, GA 30096",NCR,NCR Corporation,6543,2.7,270,25.7,7673,1542
410,Asbury Automotive Group,http://www.asburyauto.com,7900,Retailing,"Automotive Retailing, Services","Duluth, GA",2905 Premiere Pkwy. N.W.,Duluth,GA,30097,770-418-8200,Craig T. Monaghan,"President, Chief Executive Officer & Director","2905 Premiere Pkwy. N.W., Duluth, GA 30097",ABG,"Asbury Automotive Group, Inc.",6528,-0.9,167.2,-1.2,2336,280
411,American Financial Group,http://www.afginc.com,7600,Financials,Insurance: Property and Casualty (Stock),"Cincinnati, OH",301 E. Fourth St.,Cincinnati,OH,45202,513-579-2121,"Carl H. Lindner lll, S. Craig Lindner","Co-President, Co-Chief Executive Officer & Director","301 E. Fourth St., Cincinnati, OH 45202",AFG,"American Financial Group, Inc.",6498,5.7,649,84.4,55072,4916
412,Discovery Communications,http://www.discoverycommunications.com,7000,Media,Entertainment,"Silver Spring, MD",1 Discovery Place,Silver Spring,MD,20910,240-662-2000,David M. Zaslav,"President, Chief Executive Officer & Director","1 Discovery Place, Silver Spring, MD 20910",DISCA,"Discovery Communications, Inc.",6497,1.6,1194,15.5,15758,5167
413,Berry Global Group,http://www.berryglobal.com,21000,Materials,"Packaging, Containers","Evansville, IN",101 Oakley St.,Evansville,IN,47710,812-424-2904,Thomas E. Salmon,Chief Executive Officer & Director,"101 Oakley St., Evansville, IN 47710",BERY,"Berry Global Group, Inc.",6489,32.9,236,174.4,7653,218
